0,"October 17, 1984",Is born.
1,"September 30, 2005",Launches xkcd  .
2,2006,Graduates  from Christopher Newport University with degree in Physics.
3,October 2006,Starts working on  xkcd  full time after  NASA stops renewing his contract  .
4,May 2008,"Moves to Somerville, Massachusetts."
5,2008,"Gets nominated for ""Outstanding Use of the Medium"", ""Outstanding Short Form Comic"", and ""Outstanding Comedic Comic"", and wins ""Outstanding Single Panel Comic"" in the  2008 Web Cartoonists' Choice Awards  ."
6,September 2009,Releases  xkcd: volume 0  .
7,June 2011,Announces  his fiancée was diagnosed with stage 3 breast cancer.
8,August 2011,"Gets nominated  for ""Best Fan Artist"" in the 2011 Hugo Awards."
9,September 2011,Marries his fiancée  .
10,August 2012,"Gets nominated  for ""Best Fan Artist"" in the 2012 Hugo Awards."
11,September 2013,The asteroid  4942 Munroe  is named  after him  .
12,August 2014,"Wins  the 2014 Hugo Awards for ""Best Graphic Story"" thanks to  1190: Time  ."
13,September 2014,Releases  What If?  .
14,November 2015,Releases  Thing Explainer  .
15,September 2019,Releases  How To  .
16,September 2022,Releases  What If? 2  .
17,November 2024,Releases  What If? 10th Anniversary Edition  .
